ID,Is_Lead
VBENBARO,0.063101818
CCMEWNKY,0.393532462
VK3KGA9M,0.059595089
TT8RPZVC,0.02399862
SHQZEYTZ,0.02171612
MZZAQMPT,0.085818853
Y88TW36I,0.094028095
3UGOAQNU,0.054920717
VVUKMUJT,0.995768701
9R363ZXS,0.227354241
BLISM6JE,0.061954146
CH8S7JK7,0.375508897
EAHDPXEJ,0.473495523
BNUK9PRF,0.474564181
GP2PG6FJ,0.057331026
WNQCSN8A,0.036840394
32DN4YVZ,0.583137212
GXAMDANM,0.050636142
MXETLUP4,0.077365021
MPXK6TVE,0.680793765
LBSIME2K,0.164774382
D6ORJTM6,0.058078883
HGDIBAKA,0.588509181
UUZYL9DZ,0.595270656
AUGE3VWK,0.052884223
MX7GOX6Q,0.092934051
TQN6K35W,0.058048402
QQDRMQQN,0.657426334
UP6GC6F4,0.055324884
BMHBUVHB,0.738859373
KGLDW86A,0.162352194
FQEOMOP4,0.191546991
DYWM5MEU,0.269993574
DXHGXV8F,0.050719562
AVFBFQKC,0.283337433
DBIDKYMV,0.128724927
KYZHMEBY,0.425880808
SSFEBUGF,0.058518304
MGJTAG8X,0.649269547
MP6BERDO,0.249211089
GXZ8ED68,0.0521844
ICTFGWQR,0.67327127
EAYHTRKH,0.026802521
6FN97QLQ,0.126412702
3H5MZDDW,0.470211579
2DXZZWSN,0.051190508
MM4QIRE5,0.065995612
HJWVYXUA,0.221308196
RBRSJUP3,0.572439332
YFRQKGXW,0.524163321
N3SADEBV,0.043774092
G2A2YYXY,0.041527154
XMGA3WT3,0.050543569
KVZQPSGI,0.186329969
UAKARBBG,0.046395001
WYKKL85Z,0.29970412
GHNYYGRR,0.156467619
UBAJANWT,0.054540901
LSARSF7U,0.020484758
4CNSJVVR,0.347442537
JRHJSWYO,0.441269671
FHZ8SVVI,0.067801685
JUIRE47M,0.174636109
GDIVN2GL,0.055403785
WMF3DYE3,0.572987344
MAQEHEWK,0.235646864
2W8DLKFU,0.053826055
AKGRML6H,0.183082502
B7WUUGCY,0.042168692
TLJOYATM,0.553668152
UH6ZDM3W,0.290376908
7IP5SSRR,0.812872021
PV85PMEB,0.66513073
FGDOY4NI,0.172707522
7YYIXJQE,0.057189074
BHW42XPW,0.06898588
3PKEEAT4,0.44008986
ACFPZ3LM,0.058355857
6GORGNYN,0.430689494
AEPQTMJK,0.379921532
S6FNZFKK,0.052565594
JTYNEKRQ,0.754526251
GPXDPHHC,0.058644512
O8TMKNNB,0.063407467
XSQVHKYG,0.054227006
MJ3CZRAE,0.020509419
3NSQEYBJ,0.601204694
SXVBASGH,0.049104632
5ZIGZYSS,0.041836258
FQSHBCUT,0.46682999
MU45XUBP,0.043032302
BVULDPBI,0.062140205
82GRNPFG,0.437051667
KKBNELBF,0.045081503
HXQGBDGY,0.04727694
28HDZICG,0.71983722
GHBPKPJC,0.047593806
FDWZFSSC,0.580958236
FWTIWZF3,0.051809207
JYMHVPMY,0.044151015
AHUDO2T6,0.575110277
ACDHABS3,0.46005153
5NTYJJDV,0.080757135
2M4VPY4V,0.088370586
KAHP9XLF,0.081111601
YRLEWZFQ,0.111058414
JZWVLXHJ,0.247118678
JZZSXUKT,0.451639222
93RURE2J,0.406004357
4RNB6FDV,0.249251669
27E7HMMG,0.114975886
2QEFQQWN,0.042966545
DDTCD2XI,0.095043873
VGVEYSEG,0.437944284
WCXVE7RK,0.055225258
RTN4R3UE,0.042415307
K2PVS4RB,0.047232718
Q36J686Z,0.096702215
NWKHMEOF,0.140677038
PVJYQQGT,0.477338564
GPUMRNWC,0.052442275
LXHCDSVH,0.173817222
BNIUPSVK,0.072409674
FW3QI3WW,0.076601884
IEEUGXMY,0.159695307
FVVXDLBO,0.059847648
UC2JJB6Y,0.084526081
3WPAHP52,0.637536452
HDTCJJOE,0.684025434
UCSB9GKK,0.068130611
HANBFYTH,0.180320052
FLUU2HNV,0.050886123
64PIYWDJ,0.351499575
9AHNH8ZX,0.404989238
KLHUI2SE,0.074019483
YRHYUJFW,0.600558129
G5RWWH7F,0.300660208
SCBT9BAX,0.01951552
UGZGLVNB,0.365444413
2RRNUFBV,0.640964762
B6O59TEY,0.615516949
CYHRRYH6,0.046506388
GGYZVHWU,0.0778008
K6AM97RN,0.084005443
ATM5JQYM,0.077569447
7GYZSGWA,0.04803028
DFWUDQCR,0.23699358
E2Z98CR3,0.371582141
GD9KTSLY,0.052017568
2AMRA4OD,0.158170111
CFHZ3ZE6,0.588041136
BOMLVM5K,0.045929879
OBBEGBSY,0.653464276
FJEHOK8W,0.039684891
3GMAEVPJ,0.147771473
WAVDLUTH,0.057432146
6EN8GZX6,0.105946528
VXGA3GKB,0.17755667
U4MZ3U8C,0.62965443
GU4RDP8S,0.652493151
N3TPNHCD,0.148683223
JRRHWQC8,0.744930744
NZ5GBHZK,0.038751136
LCUC2LAJ,0.606919195
DJDSU9D2,0.988891593
647K6DBR,0.069636587
7NFXVESK,0.078315036
EWUWF25N,0.05598481
7QKYPLA8,0.059574365
XQVXWBNO,0.056345781
CNWH4MVA,0.059758495
AFJUJFQD,0.096392417
QKMFDX9H,0.170466325
YYMB5QBY,0.064555369
IRY3SEX7,0.364191456
CUAUZJH8,0.186684592
JYFUYQF5,0.451346265
I4NYEDFE,0.63283283
M3RSPRGQ,0.144412219
JIL3KWQN,0.120993533
X4B5ZBWU,0.201635699
AHYTHHSE,0.052607137
E7EHQEQK,0.553923694
FAMHAVN3,0.694508987
CCGKCTR6,0.060207381
6DTSELRV,0.05550884
LU8X3G6O,0.238908634
NPFDAUJY,0.05250038
DR9PXCFU,0.023951262
SHVZMWBV,0.060595303
8TGXGZHX,0.200663109
IKRSHJFW,0.185541663
TYKRZDCP,0.633159388
9IDA3L7P,0.111558935
